CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
GRAND THEFT,04/03/2024 04:06:00 AM,24-016419,VANDALISM,11X,661 60TH ST,Oakland,CA,POINT (-122.26706309 37.845576239)
BURG - AUTO,04/22/2024 08:15:00 PM,24-019875,BURGLARY-AUTO,16X,3250 LAKESHORE AV,Oakland,CA,POINT (-122.244249993 37.809737016)
BURG - COMMERCIAL,04/25/2024 04:22:00 AM,24-020289,BURGLARY-FORCIBLE ENTRY,30X,6662 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.192216982 37.761978986)
STOLEN VEHICLE,04/22/2024 09:00:00 PM,24-020314,VEHICLE THEFT - AUTO,10Y,1001 42ND ST,Oakland,CA,POINT (-122.277094984 37.832799991)
RECOVERED O/S STOLEN,03/14/2024 06:42:00 PM,24-013056,VEHICLE THEFT - AUTO,19X,1342 LAKESHORE AV,Oakland,CA,POINT (-122.25777302 37.799297021)
STOLEN VEHICLE,05/08/2024 04:30:00 PM,24-022784,VEHICLE THEFT - AUTO,11X,581 61ST ST,Oakland,CA,POINT (-122.264739085 37.847081844)
RECOVERED O/S STOLEN,03/17/2024 06:30:00 PM,24-013524,ATTEMPT TO REMOVE/ETC FIREARM FROM PEACE OFFICER/ETC,32X,98TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.170581027 37.744355992)
ROBBERY,03/24/2024 12:00:00 PM,24-014743,ATTEMPTED ROBBERY-FIREARM,31X,449 HEGENBERGER RD,Oakland,CA,POINT (-122.197507975 37.736640995)
,05/20/2024 08:58:00 AM,24-024842,SC UNEXPLAINED DEATH,33X,1300 90TH AV,Oakland,CA,POINT (-122.176014009 37.748933014)
STOLEN VEHICLE,04/17/2024 08:00:00 PM,24-019185,VEHICLE THEFT - AUTO,08X,2919 TELEGRAPH AV,Oakland,CA,POINT (-122.267906993 37.818764997)
DOMESTIC VIOLENCE,05/30/2024 12:00:00 AM,24-026720,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,32Y,10715 MACARTHUR BLVD,Oakland,CA,POINT (-122.151435 37.741795991)
,06/05/2024 10:00:00 AM,24-908700,BURGLARY-AUTO,13Z,6316 WESTOVER DRIVE,Oakland,CA,POINT (-122.196009961 37.830166983)
NARCOTICS,03/27/2024 04:30:00 PM,24-015442,POSSESS CONTROLLED SUBSTANCE FOR SALE,27Y,5615 HARMON AV,Oakland,CA,POINT (-122.197186026 37.769995983)
,05/01/2024 10:14:00 AM,24-021385,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,5360 FAIRFAX AV,Oakland,CA,POINT (-122.200617996 37.771387001)
,06/03/2024 05:09:00 AM,24-027397,ATTEMPTED BURGLARY,26X,1055 SEMINARY AV,Oakland,CA,POINT (-122.205478997 37.761441999)
,04/24/2024 05:00:00 PM,24-020217,VANDALISM,06X,3322 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.269842961 37.823002007)
RECOVERED O/S STOLEN,03/30/2024 11:53:00 AM,24-011355,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",32X,10000 SAN LEANDRO ST,Oakland,CA,POINT (-122.17833853 37.738118483)
,05/14/2024 11:15:00 PM,24-908258,THEFT,13X,6370 BROADWAY TERRACE,Oakland,CA,POINT (-122.228734001 37.842654007)
,05/03/2024 09:00:00 PM,24-021958,VEHICLE THEFT - AUTO,19X,2017 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.239769028 37.78548201)
STOLEN VEHICLE,04/03/2024 10:38:00 AM,24-016447,VEHICLE THEFT - AUTO,12Y,6029 HILLEGASS AV,Oakland,CA,POINT (-122.254492008 37.847797981)
STOLEN VEHICLE,03/21/2024 07:00:00 AM,24-015877,VEHICLE THEFT - AUTO,18X,1930 16TH AV,Oakland,CA,POINT (-122.240225003 37.792236986)
GRAND THEFT,04/11/2024 02:30:00 PM,24-017848,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,14Y,3277 LAKESHORE AV,Oakland,CA,POINT (-122.244487848 37.810660567)
,04/30/2024 04:00:00 AM,24-021173,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,6211 TEVIS ST,Oakland,CA,POINT (-122.200998032 37.761058988)
,05/02/2024 04:30:00 PM,24-021761,VEHICLE THEFT - AUTO,03X,265 VERNON ST,Oakland,CA,POINT (-122.258397975 37.814396013)
,05/31/2024 01:50:00 PM,24-026992,GRAND THEFT,15X,250 E. 18TH ST,Oakland,CA,POINT (-122.252588981 37.800224017)
,04/25/2024 11:25:00 AM,24-020335,EVADE/ETC DETERMINATION OF SALES/USE TAX DUE,02Y,1647 8TH ST,Oakland,CA,POINT (-122.298884998 37.807135986)
,03/16/2024 01:00:00 PM,24-905799,BURGLARY-AUTO,18Y,1943 E 23RD ST,Oakland,CA,POINT (-122.234016025 37.792298006)
,03/25/2024 05:50:00 PM,24-905885,BURGLARY-AUTO,,SNELL ST,Oakland,CA,POINT (-122.197943272 37.755271322)
ARSON,03/29/2024 12:47:00 AM,24-015681,MAL SET/ETC FIRE PROP/ETC,34X,1526 94TH AV,Oakland,CA,POINT (-122.170706001 37.74778)
ROBBERY,03/18/2024 07:51:00 AM,24-013590,ROBBERY-FIREARM,22X,3450 FRUITVALE AV,Oakland,CA,POINT (-122.21604799 37.800164003)
STOLEN AND RECOVERED VEHICLE,06/05/2024 06:00:00 PM,24-028312,VEHICLE THEFT - AUTO,07X,3255 SAN PABLO AV,Oakland,CA,POINT (-122.277913979 37.823866013)
,05/13/2024 10:30:00 AM,24-908094,GRAND THEFT,20X,2615 E 12TH ST,Oakland,CA,POINT (-122.232758991 37.779350019)
DOMESTIC VIOLENCE,05/21/2024 05:30:00 PM,24-025161,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27Y,5711 E 16TH ST,Oakland,CA,POINT (-122.199633039 37.767047983)
,04/29/2024 04:01:00 PM,24-021098,BATTERY,17Y,2700 PARK BLVD,Oakland,CA,POINT (-122.241402996 37.802200009)
,04/15/2024 10:00:00 AM,24-906820,BURGLARY-AUTO,,38TH AVE,Oakland,CA,POINT (-122.203954024 37.787213011)
,06/07/2024 09:05:00 AM,24-028150,BATTERY,32Y,10700 MACARTHUR BLVD,Oakland,CA,POINT (-122.149932041 37.743365)
,05/28/2024 08:35:00 AM,24-026256,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30Y,7200 BANCROFT AV,Oakland,CA,POINT (-122.17608098 37.768218013)
,04/18/2024 01:22:00 PM,24-019144,BATTERY,20X,2520 E. 12TH ST,Oakland,CA,POINT (-122.234245018 37.781435981)
,04/27/2024 07:20:00 PM,24-907172,BURGLARY-AUTO,16X,3250 LAKESHORE AVE,Oakland,CA,POINT (-122.244249993 37.809737016)
,05/09/2024 08:00:00 PM,24-907433,BURGLARY-AUTO,04X,545 W GRAND AVE,Oakland,CA,POINT (-122.270458025 37.811621981)
STOLEN VEHICLE,03/22/2024 12:58:00 PM,24-014470,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,26X,800 54TH AV,Oakland,CA,POINT (-122.210182957 37.763764402)
,06/11/2024 12:47:00 PM,24-029009,ROBBERY-FIREARM,03X,800 BLOCK OF BROADWAY,Oakland,CA,POINT (-122.273406167 37.800538399)
OTHER,04/12/2024 11:46:00 AM,24-017989,DEPRIVE RIGHT OF CUSTODY/VISITATION,34X,2125 92ND AVE,Oakland,CA,POINT (-122.165778029 37.752764005)
,04/30/2024 02:27:00 AM,24-021166,VEHICLE THEFT - AUTO,21X,2400 BLK OF 24TH AVE,Oakland,CA,POINT (-122.22656133 37.79022434)
STOLEN VEHICLE,04/18/2024 10:07:00 AM,24-019107,POSS STOLEN VEH/VES/ETC,31Z,10300 KNIGHT ST,Oakland,CA,POINT (-122.181860516 37.729969193)
MISDEMEANOR ASSAULT,03/17/2024 11:50:00 AM,24-904794,BATTERY AGAINST POLICE OFFICER,14X,365 STATEN AV,Oakland,CA,POINT (-122.254400981 37.811620011)
STOLEN VEHICLE,03/16/2024 12:00:00 PM,24-013509,VEHICLE THEFT - AUTO,20X,1426 24TH AV,Oakland,CA,POINT (-122.233921982 37.782954596)
RECOVERED O/S STOLEN,03/14/2024 01:25:00 PM,24-013015,VEHICLE THEFT - AUTO,32Y,10212 SHAW ST,Oakland,CA,POINT (-122.152561025 37.746272012)
,04/20/2024 02:00:00 PM,24-019681,VEHICLE THEFT - AUTO,30Y,9225 B ST,Oakland,CA,POINT (-122.176900982 37.746440991)
DOMESTIC VIOLENCE,04/03/2024 03:45:00 PM,24-016497,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE W/PR,06X,3737 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.269221924 37.826865193)
,05/12/2024 10:49:00 PM,24-023461,VANDALISM,33X,1236 81ST AV,Oakland,CA,POINT (-122.183428404 37.754213263)
FELONY ASSAULT,05/20/2024 04:38:00 AM,24-024823,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,07X,2736 MYRTLE ST,Oakland,CA,POINT (-122.277972988 37.819082)
,04/20/2024 02:00:00 AM,24-019424,BATTERY,04X,463 20TH ST,Oakland,CA,POINT (-122.268993105 37.809278716)
OTHER,03/19/2024 07:16:00 AM,24-013784,SC UNEXPLAINED DEATH,21X,2361 E 29TH ST,Oakland,CA,POINT (-122.225198011 37.794766015)
NARCOTICS,05/20/2024 01:45:00 AM,24-024816,CARRY CONCEALED WEAPON IN VEHICLE,30X,1925 82ND AV,Oakland,CA,POINT (-122.173628687 37.758559232)
,05/04/2024 08:37:00 PM,24-021995,VEHICLE THEFT - AUTO,18Y,1526 E 31ST ST,Oakland,CA,POINT (-122.228648942 37.798832915)
,03/18/2024 10:20:00 PM,24-905955,VANDALISM,04X,2127 BROADWAY,Oakland,CA,POINT (-122.267684034 37.810586019)
PETTY THEFT,04/01/2024 07:22:00 PM,24-016229,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,12X,5131 SHATTUCK AV,Oakland,CA,POINT (-122.264509975 37.837456012)
,04/22/2024 10:55:00 AM,24-019782,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,12X,5055 TELEGRAPH AV,Oakland,CA,POINT (-122.262635027 37.836899999)
,06/06/2024 12:36:00 PM,24-028019,TRESPASS:OCCUPY PROPERTY W/O CONSENT,23X,1215 HIGH ST,Oakland,CA,POINT (-122.216069029 37.771683008)
RECOVERED O/S STOLEN,05/12/2024 02:19:00 PM,24-023413,VEHICLE THEFT - AUTO,31Z,773 105TH AV,Oakland,CA,POINT (-122.17691498 37.734541999)
OTHER,04/21/2024 12:47:00 PM,24-019634,UNLICENSED DRIVER,35X,90TH AV & BANCROFT AV,Oakland,CA,POINT (-122.165601003 37.753646997)
MISDEMEANOR ASSAULT,04/04/2024 01:33:00 PM,24-016663,ASSAULT,02X,205 BRUSH ST,Oakland,CA,POINT (-122.28396102 37.798771014)
,05/12/2024 10:00:00 AM,24-023445,VEHICLE THEFT - AUTO,26X,821 KENNEDY ST,Oakland,CA,POINT (-122.238083008 37.777942991)
RECOVERED O/S STOLEN,03/29/2024 10:59:00 AM,24-015740,VEHICLE THEFT - AUTO,28X,BIRDSALL AV & MORCOM AV,Oakland,CA,POINT (-122.193535959 37.782981981)
NARCOTICS,03/17/2024 11:24:00 PM,24-013411,INFLICT CRPL INJ SP/COHAB,04X,BROADWAY & TELEGRAPH AV,Oakland,CA,POINT (-122.270578138 37.805336182)
STOLEN VEHICLE,04/30/2024 07:50:00 PM,24-021300,POSS STOLEN VEH/VES/ETC,19X,122 E 12TH ST,Oakland,CA,POINT (-122.257448976 37.797949001)
,05/02/2024 10:30:00 PM,24-021669,VEHICLE THEFT - AUTO,07X,36TH ST & TELEGRAPH AVE,Oakland,CA,POINT (-122.265674976 37.824600981)
THREATS,05/31/2024 09:00:00 AM,24-027038,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26Y,1050 75TH AV,Oakland,CA,POINT (-122.190360977 37.755142999)
,03/15/2024 05:30:00 PM,24-905025,BURGLARY-AUTO,04X,360 19TH ST,Oakland,CA,POINT (-122.266832435 37.806990375)
BURG - AUTO,05/30/2024 09:00:00 PM,24-908291,BURGLARY-AUTO,08X,2345 BROADWAY,Oakland,CA,POINT (-122.266265984 37.813042001)
DOMESTIC VIOLENCE,04/04/2024 12:40:00 PM,24-016624,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,02X,1111 MAGNOLIA ST,Oakland,CA,POINT (-122.288233024 37.807870995)
PETTY THEFT,04/08/2024 02:00:00 AM,24-017890,THEFT,26X,6829 LUCILLE STREET,Oakland,CA,POINT (-122.194224029 37.758658998)
,05/16/2024 12:00:00 AM,24-024449,VEHICLE THEFT - AUTO,02Y,12TH ST & WOOD ST,Oakland,CA,POINT (-122.298936966 37.811866984)
,05/28/2024 09:30:00 PM,24-026399,THEFT,17X,1623 11TH AVE,Oakland,CA,POINT (-122.246748974 37.793101998)
,05/02/2024 10:51:00 AM,24-021863,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,16Y,4330 PARK BLVD,Oakland,CA,POINT (-122.220652002 37.807830008)
,03/26/2024 02:45:00 AM,24-907704,VANDALISM,16X,1015 PARK LANE,Oakland,CA,POINT (-122.231984 37.815320998)
,04/28/2024 01:34:00 AM,24-020821,ASSAULT WITH FIREARM ON PERSON,19X,1545 17TH AV,Oakland,CA,POINT (-122.241859977 37.789345983)
,05/12/2024 12:30:00 PM,24-023395,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,01X,2ND ST & WEBSTER ST,Oakland,CA,POINT (-122.273932994 37.795112984)
STOLEN VEHICLE,04/10/2024 04:23:00 AM,24-017611,VEHICLE THEFT - AUTO,04X,600 WILLIAM ST,Oakland,CA,POINT (-122.272135998 37.809657011)
MISDEMEANOR ASSAULT,04/29/2024 12:00:00 AM,24-021138,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,18Y,14TH AV & E 33RD ST,Oakland,CA,POINT (-122.227489959 37.800107006)
,04/18/2024 02:31:00 AM,24-019067,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,18X,1710 19TH ST,Oakland,CA,POINT (-122.239778479 37.791033181)
BURG - RESIDENTIAL,05/20/2024 04:29:00 PM,24-024934,CARRY CONCEALED WEAPON IN VEHICLE,35X,8923 MACARTHUR BLVD,Oakland,CA,POINT (-122.161734012 37.755929012)
HOMICIDE,03/23/2024 10:00:00 AM,24-014998,SC UNEXPLAINED DEATH,13Y,1011 LEO WY,Oakland,CA,POINT (-122.220765996 37.839939989)
WEAPONS,04/04/2024 03:50:00 PM,24-016646,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,07X,2901 SAN PABLO AV,Oakland,CA,POINT (-122.276512022 37.819673008)
,05/28/2024 02:52:00 PM,24-026337,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,04X,1500 JEFFERSON ST,Oakland,CA,POINT (-122.274263821 37.806422949)
,04/29/2024 08:10:00 PM,24-908562,VANDALISM,14X,245 LEE ST,Oakland,CA,POINT (-122.258407028 37.813224014)
RECOVERED O/S STOLEN,03/26/2024 03:41:00 PM,24-015166,VEHICLE THEFT - AUTO,25X,3708 GREEN ACRE RD,Oakland,CA,POINT (-122.190703965 37.786739002)
,04/28/2024 10:30:00 AM,24-020866,VANDALISM-$400+,10Y,4623 WEST ST,Oakland,CA,POINT (-122.270010012 37.835244992)
DOMESTIC VIOLENCE,05/29/2024 11:30:00 PM,24-026851,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,05X,1915 LINDEN ST,Oakland,CA,POINT (-122.282875982 37.812994014)
STOLEN VEHICLE,04/12/2024 01:34:00 AM,24-017921,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,33X,98TH AV & ARMSTRONG DR,Oakland,CA,POINT (-122.177655437 37.740779811)
,04/25/2024 07:00:00 PM,24-020610,VEHICLE THEFT - AUTO,14Y,DRIVEWAY OF 606 MARIPOSA AV,Oakland,CA,POINT (-122.249995033 37.819608007)
,03/23/2024 04:15:00 AM,24-906484,VANDALISM,14Y,816 YORK ST,Oakland,CA,POINT (-122.24356459 37.812863228)
,05/15/2024 09:22:00 AM,24-023927,BATTERY,31Z,918 107TH AVENUE,Oakland,CA,POINT (-122.172901976 37.734596984)
PETTY THEFT,05/24/2024 08:30:00 PM,24-026669,THEFT,06X,809 28TH ST,Oakland,CA,POINT (-122.274229648 37.81821139)
STOLEN VEHICLE,05/23/2024 07:00:00 PM,24-026561,VEHICLE THEFT - AUTO,24Y,3438 SALISBURY ST,Oakland,CA,POINT (-122.216291987 37.785835014)
,04/04/2024 12:10:00 PM,24-907255,MAIL/ETC THEFT/ETC,13Y,200 CALDECOTT LANE,Oakland,CA,POINT (-122.21976 37.856345008)
,03/15/2024 04:59:00 AM,24-906032,GRAND THEFT,05Y,1635 15TH ST,Oakland,CA,POINT (-122.29443404 37.812247019)
WEAPONS,03/26/2024 12:57:00 AM,24-015064,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24Y,2745 BARTLETT ST,Oakland,CA,POINT (-122.208621959 37.790363002)
,04/17/2024 06:00:00 AM,24-018914,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,25X,4551 SEELE ST,Oakland,CA,POINT (-122.187804724 37.787653199)
,03/22/2024 04:28:00 PM,24-906287,THEFT BY USE OF ACCESS CARD,24X,2405 RANSOM AVE,Oakland,CA,POINT (-122.210936035 37.785024987)
,04/02/2024 09:50:00 PM,24-908546,VANDALISM,09X,145 MONTE CRESTA AVE,Oakland,CA,POINT (-122.250149009 37.823865008)
,05/26/2024 09:30:00 PM,24-026019,VANDALISM:DEFACE PROPERTY,29X,6331 MACARTHUR BLVD,Oakland,CA,POINT (-122.180178977 37.77402399)
,04/21/2024 02:55:00 PM,24-019655,BATTERY,21X,3211 DAVIS ST,Oakland,CA,POINT (-122.218637998 37.789062004)
,05/14/2024 06:00:00 PM,24-023931,VEHICLE THEFT - AUTO,17Y,IFO 1201 MACARTHUR BLVD,Oakland,CA,POINT (-122.233200968 37.803274988)
,03/23/2024 10:24:00 AM,24-906170,GRAND THEFT,31X,451 HEGENBERGER ROAD,Oakland,CA,POINT (-122.197289039 37.737543014)
,05/09/2024 06:00:00 PM,24-907407,BURGLARY-AUTO,14X,214 GRAND AVE,Oakland,CA,POINT (-122.25987604 37.810804997)
,06/03/2024 08:31:00 PM,24-027540,TRESPASS:OCCUPY PROPERTY W/O CONSENT,23X,3600 ALAMEDA AV,Oakland,CA,POINT (-122.227201034 37.768463016)
DOMESTIC VIOLENCE,03/19/2024 01:45:00 PM,24-013960,VIO PROT ORDER:DOMES:W/PR,27Y,5904 HARMON AV,Oakland,CA,POINT (-122.19495695 37.768203099)
,04/06/2024 01:48:00 PM,24-907017,VANDALISM,14Y,3200 GRAND AVE,Oakland,CA,POINT (-122.247379041 37.811581999)
,05/07/2024 04:34:00 PM,24-022686,VEHICLE THEFT - AUTO,30X,7847 ARTHUR ST.,Oakland,CA,POINT (-122.177098041 37.760488013)
,05/22/2024 12:00:00 PM,24-025324,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,21X,2425 INYO AV,Oakland,CA,POINT (-122.228122937 37.790937332)
,06/01/2024 02:40:00 PM,24-027163,VANDALISM-$400+,12X,4155 TELEGRAPH AV,Oakland,CA,POINT (-122.264440992 37.830620989)
BURG - COMMERCIAL,03/21/2024 03:25:00 AM,24-014239,BURGLARY-FORCIBLE ENTRY,02X,800 MARKET ST,Oakland,CA,POINT (-122.282182966 37.80317298)
BURG - AUTO,05/24/2024 04:30:00 AM,24-025556,BURGLARY-AUTO,17Y,2609 IVY DR,Oakland,CA,POINT (-122.24070998 37.801957982)
,06/10/2024 09:40:00 AM,24-028814,ROBBERY-FIREARM,32X,10327 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16758134 37.740126288)
,05/14/2024 03:59:00 AM,24-023714,VEHICLE THEFT - AUTO,30Y,7750 BLK OF OUTLOOK AVE,Oakland,CA,POINT (-122.165421389 37.768357317)
,05/05/2024 04:37:00 AM,24-022039,VEHICLE THEFT - AUTO,27Y,2601 64TH AV,Oakland,CA,POINT (-122.186131972 37.769528985)
,04/16/2024 10:00:00 PM,24-018922,VEHICLE THEFT - AUTO,10Y,6000 GENOA ST,Oakland,CA,POINT (-122.272778937 37.844954662)
,05/07/2024 12:00:00 AM,24-022590,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,24X,2101 41ST AV,Oakland,CA,POINT (-122.211319004 37.778682987)
,04/25/2024 08:55:00 AM,24-019002,POSS STOLEN VEH/VES/ETC,31X,8000 COLLINS DR,Oakland,CA,POINT (-122.198251185 37.745802725)
,05/21/2024 07:35:00 AM,24-907879,GRAND THEFT,15X,466 VAN DYKE AVE,Oakland,CA,POINT (-122.244363987 37.80279701)
,05/27/2024 05:00:00 PM,24-026598,BATTERY,30Y,7717 NEY AVE.,Oakland,CA,POINT (-122.167859004 37.767471982)
,04/21/2024 09:50:00 AM,24-019638,VEHICLE THEFT - AUTO,31Y,9736 MADDUX DR,Oakland,CA,POINT (-122.184516025 37.735329018)
,04/20/2024 08:15:00 AM,24-906850,BURGLARY-AUTO,,BIENATI WAY,Oakland,CA,POINT (-122.27248 37.804828)
STOLEN VEHICLE,06/04/2024 05:07:00 AM,24-027573,POSS STOLEN VEH/VES/ETC,24Y,3324 39TH AV,Oakland,CA,POINT (-122.20039596 37.788296988)
STOLEN AND RECOVERED VEHICLE,05/06/2024 10:00:00 PM,24-025611,VEHICLE THEFT - AUTO,30Y,7708 CREST AV,Oakland,CA,POINT (-122.163392958 37.770534981)
,03/20/2024 06:30:00 PM,24-905200,BURGLARY-AUTO,12X,4918 WEBSTER ST,Oakland,CA,POINT (-122.259516037 37.835854985)
RECOVERED O/S STOLEN,03/15/2024 09:45:00 AM,24-013141,VEHICLE THEFT - AUTO,33X,9521 D ST,Oakland,CA,POINT (-122.177225026 37.743672993)
,05/31/2024 09:10:00 PM,24-027063,VEHICLE THEFT - AUTO,31Y,66 AIRPORT ACCESS RD,Oakland,CA,POINT (-122.198382962 37.725858012)
DOMESTIC VIOLENCE,04/14/2024 07:12:00 PM,24-018350,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03X,900 FALLON ST,Oakland,CA,POINT (-122.260960993 37.796061019)
DUI,04/08/2024 08:05:00 PM,24-017281,DUI ALCOHOL/DRUGS,17Y,2433 14TH AV,Oakland,CA,POINT (-122.236116027 37.795861991)
,05/26/2024 03:30:00 AM,24-908406,GRAND THEFT,07X,3223 HANNAH ST,Oakland,CA,POINT (-122.287218982 37.823843005)
,04/21/2024 10:40:00 PM,24-019724,VOL PROTECTIVE ORDER:MNR,08X,554 25TH ST,Oakland,CA,POINT (-122.270083019 37.814821018)
,05/09/2024 03:00:00 AM,24-907357,GRAND THEFT,09X,227 RIDGEWAY AVE,Oakland,CA,POINT (-122.253190969 37.829310018)
,05/16/2024 06:30:00 PM,24-907915,VANDALISM,,TELEGRAPH AVE,Oakland,CA,POINT (-122.261462977 37.843326577)
,04/22/2024 08:41:00 AM,24-019753,SC UNEXPLAINED DEATH,30X,1611 74TH AV,Oakland,CA,POINT (-122.184142024 37.760403984)
GRAND THEFT,04/12/2024 01:55:00 AM,24-906785,GRAND THEFT,29X,OUTLOOK AV,Oakland,CA,POINT (-122.164439091 37.767310733)
GRAND THEFT,04/12/2024 05:00:00 PM,24-018153,GRAND THEFT:FIREARM/ANIMAL/ETC,27X,4527 BANCROFT AV,Oakland,CA,POINT (-122.211515979 37.772066983)
,06/03/2024 07:30:00 PM,24-027601,VEHICLE THEFT - AUTO,17Y,1325 E 24TH ST,Oakland,CA,POINT (-122.23750438 37.795981005)
BURG - COMMERCIAL,06/02/2024 02:40:00 AM,24-027228,BURGLARY-NO FORCE,14X,350 GRAND AV,Oakland,CA,POINT (-122.255644017 37.809234982)
,05/01/2024 05:53:00 AM,24-908627,MAIL/ETC THEFT/ETC,08X,3875 RUBY ST,Oakland,CA,POINT (-122.262671991 37.827643989)
,05/02/2024 01:00:00 PM,24-021632,VEHICLE THEFT - AUTO,17X,1921 5TH AV,Oakland,CA,POINT (-122.249044023 37.799533013)
,05/01/2024 10:00:00 AM,24-021546,VEHICLE THEFT - AUTO,27Y,51S T  AND BANCROFT AV AV,Oakland,CA,POINT (-122.205102985 37.771778981)
RECOVERED O/S STOLEN,03/20/2024 01:40:00 PM,24-014125,VEHICLE THEFT - AUTO,34X,8714 HOLLY ST,Oakland,CA,POINT (-122.174039901 37.752213364)
STOLEN VEHICLE,04/17/2024 05:00:00 PM,24-019864,VEHICLE THEFT - AUTO,31Y,610 S ELMHURST AV,Oakland,CA,POINT (-122.186346968 37.73746502)
DOMESTIC VIOLENCE,04/17/2024 09:55:00 AM,24-018937,INFLICT CRPL INJ SP/COHAB,02X,800 ADELINE ST,Oakland,CA,POINT (-122.287749154 37.804878091)
FORGERY & COUNTERFEITING,03/31/2024 08:30:00 AM,24-015991,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,07X,885 27TH ST,Oakland,CA,POINT (-122.276966992 37.817400004)
FELONY ASSAULT,04/22/2024 03:20:00 PM,24-019835,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,30Y,60 EASTMONT TOWN CENTER,Oakland,CA,POINT (-122.17698 37.767462)
ROBBERY,06/06/2024 09:48:00 PM,24-028108,ROBBERY-FIREARM,27Y,5725 E 17TH ST,Oakland,CA,POINT (-122.198726033 37.767405011)
DOMESTIC VIOLENCE,03/18/2024 05:40:00 PM,24-013701,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,14X,565 BELLEVUE AV,Oakland,CA,POINT (-122.255791036 37.807820997)
VANDALISM,03/28/2024 05:40:00 PM,24-015650,VANDALISM:DAMAGE PROPERTY,22Y,3324 GEORGIA ST,Oakland,CA,POINT (-122.202302004 37.794556007)
,05/25/2024 10:38:00 PM,24-025840,ATTEMPTED MURDER-FIREARM,31X,620 98TH AVE,Oakland,CA,POINT (-122.183047013 37.736194994)
,04/26/2024 12:30:00 PM,24-020640,VEHICLE THEFT - AUTO,03X,HARRISON ST & 11TH ST,Oakland,CA,POINT (-122.268903014 37.800855007)
STOLEN VEHICLE,04/02/2024 12:00:00 AM,24-017686,VEHICLE THEFT - OTHER VEHICLES,01X,378 EMBARCADERO WEST,Oakland,CA,POINT (-122.275226845 37.794882251)
ROBBERY,05/18/2024 07:30:00 AM,24-024519,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,33X,89TH AV & G ST,Oakland,CA,POINT (-122.183319005 37.746432986)
DOMESTIC VIOLENCE,04/11/2024 09:47:00 AM,24-017790,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30Y,2651 73RD AV,Oakland,CA,POINT (-122.174599095 37.767716318)
,05/10/2024 04:00:00 PM,24-907596,VANDALISM,,JEFFERSON ST,Oakland,CA,POINT (-122.274439178 37.80627196)
,04/28/2024 07:55:00 AM,24-020845,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,1400 BLOCK OF 101ST AVE,Oakland,CA,POINT (-122.168213551 37.742215255)
GRAND THEFT,03/29/2024 05:30:00 PM,24-015794,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,32X,930 98TH AV,Oakland,CA,POINT (-122.17862296 37.73976602)
